longitude,latitude
55.47,25.42
55.47,25.39
54.38,24.48
54.54,24.51
54.49,24.4
54.49,24.4
54.61,24.46
55.69,24.19
54.38,24.48
54.34,24.47
54.37,24.49
55.69,24.19
54.7,24.3
54.6,24.48
55.74,24.21
54.34,24.47
54.35,24.47
54.37,24.47
54.38,24.48
54.51,24.42
54.35,24.46
54.66,24.41
54.41,24.5
54.32,24.47
54.57,24.35
55.62,24.21
54.44,24.54
54.34,24.47
54.94,24.9
54.37,24.5
54.6,24.4
55.77,24.48
54.44,24.43
54.61,24.46
54.39,24.46
54.39,24.43
54.66,24.41
55.53,23.85
54.37,24.47
54.37,24.52
54.37,24.48
54.37,24.47
55.4,24.12
55.29,25.24
55.65,24.19
55.73,24.24
55.39,25.1
55.81,24.16
55.69,24.21
55.8,24.13
54.47,24.41
54.63,24.29
54.69,24.39
55.23,25.05
55.23,25.17
55.6,24.78
55.35,25.25
55.31,25.27
55.16,25.1
55.27,25.19
55.28,25.21
55.15,25.08
55.35,25.25
55.2,25.12
55.4,25.23
55.28,25.19
55.12,25.13
55.14,25.08
55.24,25.17
55.13,25.07
55.31,25.27
55.28,25.19
55.32,25.27
55.13,25.07
55.12,25.13
55.23,25.19
55.25,25.22
55.17,25.1
55.31,25.27
55.33,25.26
55.27,25.2
55.24,25.05
55.35,25.27
55.19,25.11
55.19,25.03
55.42,25.23
55.24,25.2
55.46,25.26
55.35,25.25
55.12,25.04
55.28,25.2
55.33,25.25
55,24.92
55.28,25.24
55.42,25.13
55.19,25.13
55.28,25.21
55.12,25.05
55.41,25.22
55.33,25.23
55.28,25.2
55.28,25.25
55.44,25.04
55.43,25.23
55.33,25.25
55.26,25.23
55.27,25.23
55.13,25.07
55.31,25.27
55.28,25.22
55.09,24.99
55.2,25.12
55.2,25.12
55.31,25.23
55.14,25.08
55.31,25.27
55.14,25.08
55.14,25.08
55.16,25.11
55.35,25.25
55.35,25.25
55.12,25.04
55,24.54
55.27,25.2
55.3,25.25
55.21,25.1
55.4,25.13
55.38,25.11
55.33,25.29
55.17,25.05
55.16,25.1
55.16,25.11
56.3,25.13
56.33,25.12
55.78,25.68
55.97,25.79
55.92,25.75
55.39,25.35
55.4,25.35
55.38,25.33
55.38,25.32
55.37,25.3
55.48,25.3
13.13,52.37
13.06,52.4
13.42,52.52
13.38,52.51
13.37,52.51
13.38,52.52
13.33,52.5
13.33,52.46
13.31,52.5
13.41,52.52
13.33,52.51
13.39,52.51
13.39,52.51
13.4,52.53
13.39,52.52
13.43,52.51
13.37,52.51
13.29,52.55
13.37,52.52
13.33,52.5
13.31,52.51
13.41,52.52
8.19,48.78
9.04,48.69
9.31,48.74
7.84,48
7.85,47.99
7.85,48
8.71,49.41
8.7,49.41
9.22,49.14
9.22,49.14
8.4,49.01
8.4,49.01
8.39,49.01
9.01,48.8
9.15,48.92
8.47,49.48
9.18,48.78
9.18,48.78
9.18,48.79
9.18,48.78
9.17,48.78
11,49.59
11.88,49.7
11.57,48.14
11.59,48.16
11.56,48.14
11.58,48.14
11.56,48.14
11.58,48.14
11.65,48.1
11.57,48.14
11.79,48.35
11.58,48.14
11.56,48.14
11.45,48.17
11.08,49.45
11.08,49.45
11.07,49.45
11.08,49.45
8.75,53.11
8.75,53.11
8.81,53.08
8.81,53.08
8.65,49.87
8.67,50.13
8.57,50.05
8.56,50.03
8.59,50.05
8.69,50.14
8.57,50.05
8.65,50.11
8.69,50.11
8.67,50.11
8.68,50.11
8.67,50.11
8.68,50.11
8.67,50.11
8.66,50.11
8.75,50.14
8.63,50.16
8.67,50.11
9.5,51.32
8.76,50.1
8.53,50.12
8.57,49.53
8.61,49.89
8.27,50.07
8.24,50.08
8.24,50.07
10,53.63
9.99,53.55
9.99,53.55
10.09,53.65
9.99,53.59
10.01,53.55
9.99,53.56
10,53.55
9.86,53.57
9.99,53.56
9.99,53.55
9.81,53.56
10,53.55
10.52,52.26
10.53,52.26
9.74,52.38
9.74,52.38
8.05,52.27
9.86,52.99
6.08,50.78
